Age,BirthDate,Price,Type,FirstName,LastName,NameShort,"Scorito GC","Scorito Climb","Scorito Time trial","Scorito Sprint","Scorito Punch","Scorito Hill","Scorito Cobbles",Team,"PCS One day races","PCS GC","PCS Time trial","PCS Sprint","PCS Climber","ITT Top 20","ITT Top 5","Race Top 20","Race Top 5"
27,1993-12-20T00:00:00,500000,Support,Loïc,Vliegen,"L. Vliegen",0,0,0,0,1,1,1,"Intermarché - Wanty - Gobert Matériaux",631,549,23,524,222,0,0,2,0
27,1994-03-06T00:00:00,500000,Attacker,Nils,Politt,"N. Politt",0,0,1,1,0,0,3,"BORA - hansgrohe",1034,617,890,566,216,2,1,7,0
36,1985-04-23T00:00:00,1000000,TT,Tony,Martin,"T. Martin",0,0,3,0,0,0,1,"Jumbo - Visma",390,3732,9219,1024,956,0,0,0,0
34,1986-08-20T00:00:00,1500000,Climber,Daniel,Martin,"D. Martin",2,2,0,0,4,4,0,"Israel Start-Up Nation",3355,5895,454,814,7225,0,0,13,5
33,1988-06-01T00:00:00,500000,Attacker,Alexis,Vuillermoz,"A. Vuillermoz",0,1,0,0,1,1,0,"Total Direct Energie",1160,1506,98,416,1509,1,0,13,5
36,1985-01-30T00:00:00,2500000,Climber,Richie,Porte,"R. Porte",4,4,4,0,0,3,0,"INEOS Grenadiers",290,7445,3916,488,4172,3,1,8,2
32,1989-05-11T00:00:00,500000,Support,Jelle,Wallays,"J. Wallays",0,0,0,0,0,0,1,Cofidis,1126,544,150,1029,104,0,0,0,0
30,1991-03-25T00:00:00,2000000,GC,Wilco,Kelderman,"W. Kelderman",3,3,2,0,3,3,0,"BORA - hansgrohe",565,4612,2226,838,3706,4,1,12,2
29,1991-08-26T00:00:00,4500000,Sprinter,Arnaud,Démare,"A. Démare",0,0,0,5,1,1,2,"Groupama - FDJ",4729,1341,409,8520,358,1,1,10,10
28,1992-09-22T00:00:00,750000,Climber,Bob,Jungels,"B. Jungels",2,2,3,0,1,1,4,"AG2R - Citroën Team",1092,2072,2421,637,1434,1,0,0,0
28,1992-09-07T00:00:00,750000,Climber,Alexey,Lutsenko,"A. Lutsenko",1,2,1,0,3,2,2,"Astana - Premier Tech",1431,2128,678,1148,1668,1,1,10,1
36,1985-03-22T00:00:00,1500000,Climber,Jakob,Fuglsang,"J. Fuglsang",3,3,1,0,4,4,2,"Astana - Premier Tech",3262,6110,1539,928,5848,1,0,15,1
34,1986-11-06T00:00:00,750000,Attacker,Thomas,"De Gendt","T. De Gendt",0,2,3,0,0,1,0,"Lotto - Soudal",237,1168,2177,792,1644,1,0,1,1
32,1989-02-04T00:00:00,750000,Climber,Ion,Izagirre,"I. Izagirre",2,2,2,0,1,2,0,"Astana - Premier Tech",1226,4509,2642,290,3370,3,1,16,1
33,1987-12-10T00:00:00,750000,Attacker,Sergio,Henao,"S. Henao",0,1,0,0,2,2,0,"Team Qhubeka - ASSOS",1614,3453,548,732,3075,0,0,7,0
31,1990-06-02T00:00:00,1000000,Attacker,Michal,Kwiatkowski,"M. Kwiatkowski",1,2,3,0,4,4,3,"INEOS Grenadiers",4122,3154,3268,1424,2995,2,0,7,1
29,1992-01-31T00:00:00,500000,Attacker,Xandro,Meurisse,"X. Meurisse",0,1,0,0,1,1,0,"Alpecin - Fenix",587,1017,70,930,570,0,0,1,0
34,1987-05-17T00:00:00,500000,Support,Edvald,"Boasson Hagen","E. Boasson Hagen",0,0,1,1,1,1,1,"Total Direct Energie",4006,3550,2924,8058,1446,0,0,1,0
35,1986-02-05T00:00:00,500000,Support,Roger,Kluge,"R. Kluge",0,0,0,0,0,0,0,"Lotto - Soudal",422,391,483,1423,78,1,0,2,0
31,1990-02-04T00:00:00,2500000,GC,Nairo,Quintana,"N. Quintana",4,4,0,0,0,2,0,"Team Arkéa - Samsic",544,8648,1256,227,7010,0,0,20,6
32,1989-05-06T00:00:00,1500000,Climber,David,"De La Cruz","D. De La Cruz",1,2,1,0,0,1,0,"UAE Team Emirates",100,1810,709,70,1810,0,0,0,0
27,1993-11-24T00:00:00,500000,Support,Jasper,"De Buyst","J. De Buyst",0,0,0,1,0,0,2,"Lotto - Soudal",1081,484,118,1263,120,0,0,5,1
27,1994-02-04T00:00:00,3500000,GC,"Miguel Ángel",López,"M. López",4,5,1,0,1,2,0,"Movistar Team",322,3349,466,226,3319,1,0,10,5
36,1985-05-20T00:00:00,1500000,GC,Chris,Froome,"C. Froome",4,3,3,0,1,2,0,"Israel Start-Up Nation",242,8222,4207,533,6704,0,0,0,0
35,1986-05-31T00:00:00,750000,Support,Robert,Gesink,"R. Gesink",0,1,0,0,0,1,0,"Jumbo - Visma",2847,5039,1172,901,4860,1,0,0,0
34,1986-09-29T00:00:00,500000,Support,Michael,Schär,"M. Schär",0,0,0,0,0,0,0,"AG2R - Citroën Team",692,881,141,420,199,0,0,1,0
33,1987-07-05T00:00:00,2000000,Sprinter,Alexander,Kristoff,"A. Kristoff",0,0,0,3,0,0,3,"UAE Team Emirates",8597,1988,297,11418,480,0,0,10,3
30,1990-11-28T00:00:00,500000,Support,Tosh,"Van der Sande","T. Van der Sande",0,0,0,1,1,1,0,"Lotto - Soudal",577,584,1,1526,481,0,0,2,1
30,1990-09-26T00:00:00,3000000,Sprinter,Michael,Matthews,"M. Matthews",0,1,3,3,5,4,3,"Team BikeExchange",5492,709,1447,5119,1986,1,0,11,5
30,1990-09-27T00:00:00,500000,Support,Hugo,Houle,"H. Houle",0,0,0,0,0,0,0,"Astana - Premier Tech",498,520,483,238,234,0,0,2,0
31,1990-03-10T00:00:00,750000,Support,Luke,Rowe,"L. Rowe",0,0,0,0,0,0,1,"INEOS Grenadiers",1142,413,142,774,15,0,0,0,0
30,1991-04-30T00:00:00,750000,Support,Edward,Theuns,"E. Theuns",0,0,0,2,0,0,2,"Trek - Segafredo",1767,478,97,2784,82,0,0,10,3
29,1992-05-06T00:00:00,1000000,Climber,Jan,Polanc,"J. Polanc",0,1,0,0,0,0,0,"UAE Team Emirates",520,1247,288,303,1242,0,0,1,0
25,1995-12-18T00:00:00,2000000,Sprinter,Mads,Pedersen,"M. Pedersen",0,0,2,3,0,0,3,"Trek - Segafredo",1597,621,796,1427,123,1,0,7,6
34,1987-01-26T00:00:00,1500000,GC,Rigoberto,Urán,"R. Urán",3,3,1,0,1,2,0,"EF Education - Nippo",2820,4764,1512,981,5702,1,0,4,1
34,1986-11-26T00:00:00,1000000,Climber,Bauke,Mollema,"B. Mollema",2,3,1,0,2,3,0,"Trek - Segafredo",4266,5390,1455,1004,7280,1,0,13,5
29,1992-02-21T00:00:00,500000,Climber,Louis,Meintjes,"L. Meintjes",1,1,0,0,0,1,0,"Intermarché - Wanty - Gobert Matériaux",485,1950,330,124,2060,0,0,8,0
27,1993-07-26T00:00:00,1500000,Sprinter,Danny,"van Poppel","D. van Poppel",0,0,0,2,0,0,1,"Intermarché - Wanty - Gobert Matériaux",1777,303,343,3919,158,0,0,10,5
31,1990-02-25T00:00:00,1000000,Climber,Pello,Bilbao,"P. Bilbao",2,2,2,0,2,3,0,"Bahrain Victorious",744,2111,739,691,2583,1,0,14,3
26,1994-08-10T00:00:00,750000,Attacker,Søren,Kragh,"S. Kragh",0,0,3,1,2,2,2,"Team DSM",670,927,1492,854,385,2,1,2,0
38,1982-07-05T00:00:00,750000,Attacker,Philippe,Gilbert,"P. Gilbert",0,0,0,1,3,3,4,"Lotto - Soudal",12263,3875,1394,7794,4050,0,0,6,2
36,1984-11-14T00:00:00,1000000,Climber,Vincenzo,Nibali,"V. Nibali",3,3,2,0,1,3,1,"Trek - Segafredo",4594,9343,3657,1379,9206,1,0,9,0
35,1986-02-14T00:00:00,500000,Support,Jan,Bakelants,"J. Bakelants",0,1,0,0,0,1,0,"Intermarché - Wanty - Gobert Matériaux",1919,2564,309,1486,1870,0,0,3,1
35,1986-05-25T00:00:00,5000000,GC,Geraint,Thomas,"G. Thomas",5,4,5,0,2,2,1,"INEOS Grenadiers",1219,5100,4177,1384,3048,4,1,15,5
36,1985-05-17T00:00:00,1000000,Attacker,Greg,"Van Avermaet","G. Van Avermaet",0,1,0,1,3,3,5,"AG2R - Citroën Team",11026,3517,574,7242,4209,0,0,17,5
30,1990-07-25T00:00:00,1500000,Sprinter,Nacer,Bouhanni,"N. Bouhanni",0,0,0,3,0,0,0,"Team Arkéa - Samsic",3993,454,51,9036,320,0,0,8,5
31,1990-05-28T00:00:00,2000000,TT,Rohan,Dennis,"R. Dennis",1,2,5,0,1,2,0,"INEOS Grenadiers",46,2527,5280,303,1128,4,1,1,1
32,1989-01-30T00:00:00,2500000,Sprinter,Giacomo,Nizzolo,"G. Nizzolo",0,0,0,4,1,1,2,"Team Qhubeka - ASSOS",3552,528,227,6343,250,0,0,19,10
28,1992-08-25T00:00:00,1500000,Support,Mike,Teunissen,"M. Teunissen",0,0,0,2,2,0,2,"Jumbo - Visma",1223,795,286,1525,111,0,0,3,1
30,1990-07-17T00:00:00,500000,Attacker,Omar,Fraile,"O. Fraile",0,1,0,0,1,2,0,"Astana - Premier Tech",343,459,103,235,1128,1,0,4,1
29,1992-06-11T00:00:00,5000000,Attacker,Julian,Alaphilippe,"J. Alaphilippe",3,3,2,2,5,5,2,"Deceuninck - Quick-Step",4910,1999,1079,1472,4499,1,1,12,6
27,1993-10-12T00:00:00,750000,Climber,Pierre,Latour,"P. Latour",2,2,2,0,1,1,0,"Total Direct Energie",575,1630,704,164,1974,2,0,9,3
27,1994-03-11T00:00:00,750000,Attacker,Tiesj,Benoot,"T. Benoot",0,2,0,0,1,2,3,"Team DSM",3046,1560,80,1216,2010,0,0,10,1
31,1989-10-29T00:00:00,6500000,GC,Primož,Roglic,"P. Roglic",5,5,5,1,5,5,0,"Jumbo - Visma",1105,4751,3006,286,4366,2,2,10,6
30,1991-05-10T00:00:00,750000,Attacker,Tim,Wellens,"T. Wellens",0,2,1,0,3,3,2,"Lotto - Soudal",2886,2913,871,814,2240,2,1,8,1
28,1992-07-11T00:00:00,500000,Attacker,Petr,Vakoc,"P. Vakoc",0,0,0,0,1,1,0,"Alpecin - Fenix",1198,583,183,562,373,0,0,3,0
29,1992-04-17T00:00:00,1500000,Attacker,Jasper,Stuyven,"J. Stuyven",0,0,0,2,1,1,4,"Trek - Segafredo",3255,714,88,2953,760,0,0,7,4
31,1989-12-13T00:00:00,3000000,GC,Mikel,Landa,"M. Landa",4,5,0,0,1,3,0,"Bahrain Victorious",677,3784,199,227,4490,0,0,9,3
34,1986-10-12T00:00:00,1500000,Climber,Michael,Woods,"M. Woods",3,3,0,0,5,5,0,"Israel Start-Up Nation",2045,1495,19,326,3192,0,0,14,8
36,1984-07-03T00:00:00,500000,Climber,Nicolas,Roche,"N. Roche",1,2,0,0,1,1,0,"Team DSM",1324,3362,547,1798,4102,0,0,4,2
34,1987-06-07T00:00:00,2500000,Climber,Steven,Kruijswijk,"S. Kruijswijk",4,4,2,0,0,2,0,"Jumbo - Visma",320,4052,1284,382,3622,3,1,6,0
31,1990-05-17T00:00:00,2500000,Sprinter,Sonny,Colbrelli,"S. Colbrelli",0,0,0,3,3,2,2,"Bahrain Victorious",4629,887,134,4076,1228,0,0,11,8
34,1986-06-22T00:00:00,500000,Climber,Víctor,"de la Parte","V. de la Parte",0,1,0,0,0,0,0,"Total Direct Energie",84,1196,544,203,626,0,0,4,1
29,1991-10-13T00:00:00,1000000,Climber,Patrick,Konrad,"P. Konrad",2,2,0,0,2,2,0,"BORA - hansgrohe",915,1910,431,344,2313,2,0,14,3
29,1991-10-28T00:00:00,1500000,GC,Warren,Barguil,"W. Barguil",2,3,0,0,4,4,0,"Team Arkéa - Samsic",1563,2425,106,488,3024,0,0,9,2
29,1992-03-01T00:00:00,750000,Climber,Dylan,Teuns,"D. Teuns",1,2,1,0,3,4,2,"Bahrain Victorious",1131,1786,456,748,1926,1,0,5,3
29,1992-04-25T00:00:00,2000000,Sprinter,Bryan,Coquard,"B. Coquard",0,0,0,3,1,1,1,"B&B Hotels p/b KTM",2146,985,289,5682,236,0,0,18,5
30,1991-04-22T00:00:00,500000,Support,Anthony,Perez,"A. Perez",0,0,0,0,1,1,0,Cofidis,138,330,160,232,207,0,0,2,1
26,1994-07-11T00:00:00,4500000,Sprinter,Caleb,Ewan,"C. Ewan",0,0,0,5,1,1,0,"Lotto - Soudal",1767,229,148,5438,321,0,0,11,8
26,1994-06-17T00:00:00,500000,Support,Aimé,"De Gendt","A. De Gendt",0,0,0,0,1,0,2,"Intermarché - Wanty - Gobert Matériaux",637,395,105,496,64,0,0,0,0
34,1987-04-27T00:00:00,1000000,TT,Jonathan,Castroviejo,"J. Castroviejo",0,1,3,0,0,1,0,"INEOS Grenadiers",248,1577,3648,104,669,2,0,3,0
28,1992-08-07T00:00:00,2000000,Climber,Simon,Yates,"S. Yates",3,3,2,0,4,4,0,"Team BikeExchange",545,3818,702,226,4158,0,0,16,5
29,1991-10-28T00:00:00,750000,TT,Victor,Campenaerts,"V. Campenaerts",0,0,3,0,0,0,0,"Team Qhubeka - ASSOS",165,596,2828,242,264,0,0,5,1
28,1993-06-09T00:00:00,2000000,GC,Guillaume,Martin,"G. Martin",3,3,0,0,2,3,0,Cofidis,1117,2050,6,324,2227,0,0,17,2
27,1993-09-06T00:00:00,1000000,Climber,Jack,Haig,"J. Haig",2,2,0,0,1,3,0,"Bahrain Victorious",547,1735,219,210,1344,1,0,12,1
26,1994-10-19T00:00:00,750000,Attacker,Matej,Mohoric,"M. Mohoric",0,0,0,1,1,3,2,"Bahrain Victorious",1265,855,187,579,918,0,0,10,3
30,1990-09-16T00:00:00,750000,Attacker,Oliver,Naesen,"O. Naesen",0,0,0,1,0,1,4,"AG2R - Citroën Team",3601,1127,35,1994,733,0,0,6,1
27,1994-03-12T00:00:00,500000,Climber,Nans,Peters,"N. Peters",0,2,0,0,0,0,0,"AG2R - Citroën Team",310,247,61,135,471,0,0,0,0
25,1995-10-17T00:00:00,750000,Climber,Benoît,Cosnefroy,"B. Cosnefroy",0,1,0,0,4,4,0,"AG2R - Citroën Team",1439,285,107,612,407,0,0,5,1
27,1994-01-17T00:00:00,4000000,Sprinter,Pascal,Ackermann,"P. Ackermann",0,0,0,4,0,0,0,"BORA - hansgrohe",2622,126,6,3692,382,1,0,14,8
25,1995-11-25T00:00:00,1000000,Climber,Ben,O'Connor,"B. O'Connor",0,3,0,0,0,0,0,"AG2R - Citroën Team",77,883,138,86,849,2,0,12,5
24,1996-10-10T00:00:00,2500000,GC,David,Gaudu,"D. Gaudu",3,3,0,0,4,4,0,"Groupama - FDJ",952,1303,23,208,1686,0,0,16,6
24,1996-07-12T00:00:00,750000,Climber,Valentin,Madouas,"V. Madouas",2,2,0,0,3,4,2,"Groupama - FDJ",886,517,64,365,620,0,0,5,2
28,1993-05-29T00:00:00,4500000,GC,Richard,Carapaz,"R. Carapaz",5,5,1,0,1,3,0,"INEOS Grenadiers",372,1956,227,146,2528,1,0,5,1
26,1995-01-07T00:00:00,3500000,GC,Enric,Mas,"E. Mas",4,4,2,0,0,2,0,"Movistar Team",228,2178,400,76,2032,1,0,9,3
27,1994-02-11T00:00:00,500000,Support,"Amund Grøndahl",Jansen,"A. Jansen",0,0,0,1,0,0,2,"Team BikeExchange",801,468,44,604,122,0,0,2,0
26,1995-03-30T00:00:00,2500000,Climber,Tao,"Geoghegan Hart","T. Geoghegan Hart",4,4,2,0,2,3,0,"INEOS Grenadiers",213,1544,409,136,1407,0,0,4,2
26,1994-09-15T00:00:00,4000000,Attacker,Wout,"van Aert","W. van Aert",0,2,5,4,5,5,5,"Jumbo - Visma",3363,566,776,1517,306,1,1,13,9
28,1992-10-30T00:00:00,2500000,Sprinter,Tim,Merlier,"T. Merlier",0,0,0,4,0,0,1,"Alpecin - Fenix",1542,23,3,2138,0,0,0,14,8
25,1995-09-19T00:00:00,1000000,Attacker,Alex,Aranburu,"A. Aranburu",0,1,0,2,3,3,0,"Astana - Premier Tech",676,272,50,520,836,1,0,14,5
23,1997-08-01T00:00:00,1000000,GC,Sergio,Higuita,"S. Higuita",2,2,0,1,4,3,0,"EF Education - Nippo",381,837,57,252,1093,1,0,8,4
26,1994-09-13T00:00:00,2500000,Climber,Sepp,Kuss,"S. Kuss",2,4,0,0,0,2,0,"Jumbo - Visma",91,925,50,70,1423,0,0,13,1
25,1996-02-12T00:00:00,1500000,GC,Lucas,Hamilton,"L. Hamilton",1,2,0,0,1,2,0,"Team BikeExchange",191,847,71,257,770,0,0,11,4
24,1996-09-05T00:00:00,750000,Support,Ivo,Oliveira,"I. Oliveira",0,0,0,1,0,0,0,"UAE Team Emirates",18,36,155,92,24,2,0,2,0
23,1998-03-02T00:00:00,2500000,Sprinter,Jasper,Philipsen,"J. Philipsen",0,0,0,3,0,0,1,"Alpecin - Fenix",1090,203,94,2072,266,0,0,15,11
23,1998-04-02T00:00:00,2500000,Climber,Brandon,McNulty,"B. McNulty",2,2,4,0,0,1,0,"UAE Team Emirates",54,656,734,94,591,4,3,12,2
26,1995-02-08T00:00:00,1000000,Attacker,Kasper,Asgreen,"K. Asgreen",0,0,3,1,1,2,3,"Deceuninck - Quick-Step",1129,377,1045,488,398,3,2,9,3
26,1995-01-19T00:00:00,3000000,Attacker,Mathieu,"van der Poel","M. van der Poel",0,2,1,2,5,5,5,"Alpecin - Fenix",2730,784,334,1920,706,0,0,11,10
25,1995-07-27T00:00:00,2000000,Sprinter,Cees,Bol,"C. Bol",0,0,0,3,0,0,1,"Team DSM",516,225,128,1214,62,0,0,6,2
25,1996-02-27T00:00:00,750000,Climber,Aurélien,Paret-Peintre,"A. Paret-Peintre",0,1,0,0,0,1,0,"AG2R - Citroën Team",389,522,65,184,344,1,0,14,3
24,1996-12-10T00:00:00,1500000,Climber,Jonas,Vingegaard,"J. Vingegaard",0,1,0,0,2,2,0,"Jumbo - Visma",60,689,250,300,294,3,1,9,6
23,1997-10-31T00:00:00,500000,Support,André,Carvalho,"A. Carvalho",0,0,0,0,0,0,0,Cofidis,65,51,0,44,0,0,0,0,0
22,1998-09-16T00:00:00,500000,Support,Robert,Stannard,"R. Stannard",0,0,0,1,1,1,0,"Team BikeExchange",417,133,66,469,206,0,0,8,1
22,1998-09-21T00:00:00,7000000,GC,Tadej,Pogacar,"T. Pogacar",5,5,4,0,4,4,0,"UAE Team Emirates",801,2594,631,310,2583,3,3,17,10
22,1998-08-24T00:00:00,2000000,Climber,Marc,Hirschi,"M. Hirschi",0,2,0,1,5,5,1,"UAE Team Emirates",1118,341,142,140,942,1,0,8,2
27,1994-02-13T00:00:00,1500000,Sprinter,Hugo,Hofstetter,"H. Hofstetter",0,0,0,2,0,1,1,"Israel Start-Up Nation",1502,35,0,1668,81,0,0,6,1
27,1994-02-07T00:00:00,500000,Support,Jonas,Rickaert,"J. Rickaert",0,0,0,1,0,0,0,"Alpecin - Fenix",605,113,102,599,2,0,0,3,1
27,1993-11-16T00:00:00,1000000,TT,Stefan,Küng,"S. Küng",0,0,5,0,0,1,4,"Groupama - FDJ",1157,917,2878,389,326,4,3,6,0
25,1995-07-01T00:00:00,500000,Attacker,Élie,Gesbert,"É. Gesbert",0,0,0,0,0,0,0,"Team Arkéa - Samsic",150,490,12,187,358,1,0,10,4
41,1980-04-25T00:00:00,1500000,GC,Alejandro,Valverde,"A. Valverde",2,3,1,1,4,4,2,"Movistar Team",12421,12857,4612,5298,15363,1,0,21,10
31,1989-08-28T00:00:00,500000,Support,Jens,Debusschere,"J. Debusschere",0,0,0,1,0,0,1,"B&B Hotels p/b KTM",2193,512,65,3070,78,0,0,0,0
33,1988-04-16T00:00:00,500000,Support,Alexandre,Geniez,"A. Geniez",0,2,1,0,0,1,0,"Total Direct Energie",520,1709,707,350,1372,1,1,1,0
29,1992-01-06T00:00:00,500000,Support,Quentin,Pacher,"Q. Pacher",0,0,0,0,0,0,0,"B&B Hotels p/b KTM",370,694,82,610,506,1,0,15,1
33,1987-09-26T00:00:00,500000,Support,Cyril,Gautier,"C. Gautier",0,0,0,0,0,0,0,"B&B Hotels p/b KTM",1458,982,95,1084,922,0,0,2,0
26,1994-08-18T00:00:00,500000,Support,Krists,Neilands,"K. Neilands",0,1,0,0,2,2,0,"Israel Start-Up Nation",464,517,199,368,330,0,0,3,0
28,1992-12-11T00:00:00,1500000,Sprinter,Christophe,Laporte,"C. Laporte",0,0,1,3,1,1,1,Cofidis,1394,541,687,2416,192,2,1,16,8
28,1993-01-16T00:00:00,1000000,Attacker,Magnus,Cort,"M. Cort",0,0,0,2,1,2,1,"EF Education - Nippo",876,701,161,2318,566,2,0,8,3
22,1998-11-29T00:00:00,500000,Support,Barnabás,Peák,"B. Peák",0,0,0,0,0,0,0,"Team BikeExchange",93,32,151,131,4,0,0,0,0
25,1996-02-11T00:00:00,500000,Support,Joris,Nieuwenhuis,"J. Nieuwenhuis",0,0,0,1,1,0,1,"Team DSM",148,104,8,126,91,0,0,0,0
36,1985-04-30T00:00:00,750000,Support,Michael,Mørkøv,"M. Mørkøv",0,0,0,1,0,0,1,"Deceuninck - Quick-Step",1070,857,279,1486,176,0,0,11,5
22,1999-05-16T00:00:00,500000,Support,Maxime,Chevalier,"M. Chevalier",0,0,0,0,0,0,0,"B&B Hotels p/b KTM",51,55,11,16,20,0,0,4,0
23,1998-01-23T00:00:00,500000,Support,Nils,Eekhoff,"N. Eekhoff",0,0,0,0,1,0,1,"Team DSM",262,95,142,437,0,1,0,7,2
32,1989-02-09T00:00:00,500000,Support,Ramon,Sinkeldam,"R. Sinkeldam",0,0,0,1,0,0,1,"Groupama - FDJ",783,491,72,1436,0,0,0,0,0
27,1994-01-18T00:00:00,500000,Support,Miles,Scotson,"M. Scotson",0,0,2,0,0,0,0,"Groupama - FDJ",71,168,638,52,20,1,1,3,1
30,1990-10-25T00:00:00,750000,Attacker,Mattia,Cattaneo,"M. Cattaneo",1,1,0,0,0,1,0,"Deceuninck - Quick-Step",665,827,739,228,930,5,1,7,0
22,1998-11-03T00:00:00,1000000,TT,Mikkel,Bjerg,"M. Bjerg",0,0,3,0,0,1,1,"UAE Team Emirates",83,138,895,108,96,2,1,3,0
24,1996-07-06T00:00:00,1000000,Climber,Mark,Padun,"M. Padun",0,2,0,0,1,2,0,"Bahrain Victorious",91,265,36,163,394,0,0,4,2
26,1994-09-21T00:00:00,1000000,Attacker,Davide,Ballerini,"D. Ballerini",0,0,0,2,1,1,1,"Deceuninck - Quick-Step",952,104,112,1172,281,1,0,7,5
28,1992-11-18T00:00:00,1500000,Climber,Emanuel,Buchmann,"E. Buchmann",3,3,0,0,0,3,0,"BORA - hansgrohe",608,2332,232,75,2393,0,0,8,2
